得点,腕立,腹筋,3Km走
100,52,70,737
99,51,68,746
98,50,67,754
97,49,66,762
96,,65,770
95,48,64,778
94,47,63,786
93,,62,794
92,46,61,802
91,45,60,810
90,44,59,818
89,,58,826
88,43,56,835
87,42,55,843
86,41,54,851
85,,53,859
84,40,52,867
83,39,51,875
82,38,50,883
81,,49,891
80,37,48,899
79,,47,907
78,36,46,915
77,35,45,924
76,34,43,932
75,33,42,940
74,,41,948
73,32,40,956
72,31,39,964
71,30,38,972
70,,37,980
69,29,36,988
68,28,35,996
67,27,34,1004
66,,33,1012
65,26,31,1021
64,25,30,1029
63,24,29,1037
62,,28,1045
61,23,27,1053
60,22,26,1061
59,,25,1069
58,21,24,1077
57,20,23,1085
56,19,22,1093
55,,21,1101
54,18,19,1110
53,17,18,1118
52,16,17,1126
51,,16,1134
50,15,15,1142
49,14,14,1150
48,13,13,1158
47,,12,1166
46,12,11,1174
45,11,10,1182
44,,9,1190
43,10,8,1199
42,9,6,1207
41,8,5,1215
40,,4,1223
39,7,3,1231
38,6,2,1239
37,5,1,1247
36,,,1255
35,4,,1263
34,3,,1271
33,2,,1279
32,1,,1287
31,,,1296
30,,,1304
29,,,1312
28,,,1320
27,,,1328
26,,,1336
25,,,1344
24,,,1352
23,,,1360
22,,,1368
21,,,1376
20,,,1385
19,,,1393
18,,,1401
17,,,1409
16,,,1417
15,,,1425
14,,,1433
13,,,1441
12,,,1449
11,,,1457
10,,,1465
9,,,1474
8,,,1482
7,,,1490
6,,,1498
5,,,1506
4,,,1514
3,,,1522
2,,,1530
1,,,1538
