得点,腕立,腹筋,3Km走
100,89,86,596
99,88,85,603
98,87,84,610
97,86,83,617
96,84,82,624
95,83,81,631
94,82,80,638
93,81,79,645
92,80,78,652
91,78,77,659
90,77,76,666
89,76,75,673
88,75,74,680
87,73,73,687
86,72,72,694
85,71,71,701
84,70,70,708
83,68,69,715
82,67,68,722
81,66,67,729
80,65,66,736
79,63,65,743
78,62,64,750
77,61,63,757
76,60,61,763
75,59,60,770
74,57,59,777
73,56,58,784
72,55,57,791
71,54,56,798
70,52,55,805
69,51,54,812
68,50,53,819
67,49,52,826
66,47,51,833
65,46,50,840
64,45,49,847
63,44,48,854
62,42,47,861
61,41,46,868
60,40,45,875
59,39,44,882
58,38,43,889
57,36,42,896
56,35,41,903
55,34,40,910
54,33,39,917
53,31,38,924
52,30,37,931
51,29,36,938
50,28,35,945
49,26,34,952
48,25,33,959
47,24,32,966
46,23,31,973
45,21,30,980
44,20,29,987
43,19,27,994
42,18,26,1000
41,17,25,1007
40,15,24,1014
39,14,23,1021
38,13,22,1028
37,12,21,1035
36,10,20,1042
35,9,19,1049
34,8,18,1056
33,7,17,1063
32,5,16,1070
31,4,15,1077
30,3,14,1084
29,2,13,1091
28,1,12,1098
27,,11,1105
26,,10,1112
25,,9,1119
24,,8,1126
23,,7,1133
22,,6,1140
21,,5,1147
20,,4,1154
19,,3,1161
18,,2,1168
17,,1,1175
16,,,1182
15,,,1189
14,,,1196
13,,,1203
12,,,1210
11,,,1217
10,,,1224
9,,,1231
8,,,1237
7,,,1244
6,,,1251
5,,,1258
4,,,1265
3,,,1272
2,,,1279
1,,,1286
