得点,腕立,腹筋,3Km走
100,49,68,759
99,48,66,768
98,47,65,776
97,46,64,784
96,,63,792
95,45,62,800
94,44,61,808
93,,60,816
92,43,59,824
91,42,58,832
90,41,57,840
89,,56,848
88,40,54,857
87,39,53,865
86,38,52,873
85,,51,881
84,37,50,889
83,36,49,897
82,35,48,905
81,,47,913
80,34,46,921
79,,45,929
78,33,44,937
77,32,43,946
76,31,41,954
75,30,40,962
74,,39,970
73,29,38,978
72,28,37,986
71,27,36,994
70,,35,1002
69,26,34,1010
68,25,33,1018
67,24,32,1026
66,,31,1034
65,23,29,1043
64,22,28,1051
63,21,27,1059
62,,26,1067
61,20,25,1075
60,19,24,1083
59,,23,1091
58,18,22,1099
57,17,21,1107
56,16,20,1115
55,,19,1123
54,15,17,1132
53,14,16,1140
52,13,15,1148
51,,14,1156
50,12,13,1164
49,11,12,1172
48,10,11,1180
47,,10,1188
46,9,9,1196
45,8,8,1204
44,,7,1212
43,7,6,1221
42,6,4,1229
41,5,3,1237
40,,2,1245
39,4,1,1253
38,3,,1261
37,2,,1269
36,,,1277
35,1,,1285
34,,,1293
33,,,1301
32,,,1309
31,,,1318
30,,,1326
29,,,1334
28,,,1342
27,,,1350
26,,,1358
25,,,1366
24,,,1374
23,,,1382
22,,,1390
21,,,1398
20,,,1407
19,,,1415
18,,,1423
17,,,1431
16,,,1439
15,,,1447
14,,,1455
13,,,1463
12,,,1471
11,,,1479
10,,,1487
9,,,1496
8,,,1504
7,,,1512
6,,,1520
5,,,1528
4,,,1536
3,,,
2,,,
1,,,
