得点,腕立,腹筋,3Km走
100,84,81,618
99,83,80,625
98,82,79,632
97,81,78,639
96,79,77,646
95,78,76,653
94,77,75,660
93,76,74,667
92,75,73,674
91,73,72,681
90,72,71,688
89,71,70,695
88,70,69,702
87,68,68,709
86,67,67,716
85,66,66,723
84,65,65,730
83,63,64,737
82,62,63,744
81,61,62,751
80,60,61,758
79,58,60,765
78,57,59,772
77,56,58,779
76,55,56,785
75,54,55,792
74,52,54,799
73,51,53,806
72,50,52,813
71,49,51,820
70,47,50,827
69,46,49,834
68,45,48,841
67,44,47,848
66,42,46,855
65,41,45,862
64,40,44,869
63,39,43,876
62,37,42,883
61,36,41,890
60,35,40,897
59,34,39,904
58,33,38,911
57,31,37,918
56,30,36,925
55,29,35,932
54,28,34,939
53,26,33,946
52,25,32,953
51,24,31,960
50,23,30,967
49,21,29,974
48,20,28,981
47,19,27,988
46,18,26,995
45,16,25,1002
44,15,24,1009
43,14,22,1016
42,13,21,1022
41,12,20,1029
40,10,19,1036
39,9,18,1043
38,8,17,1050
37,7,16,1057
36,5,15,1064
35,4,14,1071
34,3,13,1078
33,2,12,1085
32,1,11,1092
31,,10,1099
30,,9,1106
29,,8,1113
28,,7,1120
27,,6,1127
26,,5,1134
25,,4,1141
24,,3,1148
23,,2,1155
22,,1,1162
21,,,1169
20,,,1176
19,,,1183
18,,,1190
17,,,1197
16,,,1204
15,,,1211
14,,,1218
13,,,1225
12,,,1232
11,,,1239
10,,,1246
9,,,1253
8,,,1259
7,,,1266
6,,,1273
5,,,1280
4,,,1287
3,,,1294
2,,,1301
1,,,1308
