得点,腕立,腹筋,3Km走
100,47,65,781
99,46,63,790
98,45,62,798
97,44,61,806
96,,60,814
95,43,59,822
94,42,58,830
93,,57,838
92,41,56,846
91,40,55,854
90,39,54,862
89,,53,870
88,38,51,879
87,37,50,887
86,36,49,895
85,,48,903
84,35,47,911
83,34,46,919
82,33,45,927
81,,44,935
80,32,43,943
79,,42,951
78,31,41,959
77,30,40,968
76,29,38,976
75,28,37,984
74,,36,992
73,27,35,1000
72,26,34,1008
71,25,33,1016
70,,32,1024
69,24,31,1032
68,23,30,1040
67,22,29,1048
66,,28,1056
65,21,26,1065
64,20,25,1073
63,19,24,1081
62,,23,1089
61,18,22,1097
60,17,21,1105
59,,20,1113
58,16,19,1121
57,15,18,1129
56,14,17,1137
55,,16,1145
54,13,14,1154
53,12,13,1162
52,11,12,1170
51,,11,1178
50,10,10,1186
49,9,9,1194
48,8,8,1202
47,,7,1210
46,7,6,1218
45,6,5,1226
44,,4,1234
43,5,3,1243
42,4,1,1251
41,3,,1259
40,,,1267
39,2,,1275
38,1,,1283
37,,,1291
36,,,1299
35,,,1307
34,,,1315
33,,,1323
32,,,1331
31,,,1340
30,,,1348
29,,,1356
28,,,1364
27,,,1372
26,,,1380
25,,,1388
24,,,1396
23,,,1404
22,,,1412
21,,,1420
20,,,1429
19,,,1437
18,,,1445
17,,,1453
16,,,1461
15,,,1469
14,,,1477
13,,,1485
12,,,1493
11,,,1501
10,,,1509
9,,,1518
8,,,1526
7,,,1534
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
