得点,腕立,腹筋,3Km走
100,80,77,640
99,79,76,647
98,78,75,654
97,77,74,661
96,75,73,668
95,74,72,675
94,73,71,682
93,72,70,689
92,71,69,696
91,69,68,703
90,68,67,710
89,67,66,717
88,66,65,724
87,64,64,731
86,63,63,738
85,62,62,745
84,61,61,752
83,59,60,759
82,58,59,766
81,57,58,773
80,56,57,780
79,54,56,787
78,53,55,794
77,52,54,801
76,51,52,807
75,50,51,814
74,48,50,821
73,47,49,828
72,46,48,835
71,45,47,842
70,43,46,849
69,42,45,856
68,41,44,863
67,40,43,870
66,38,42,877
65,37,41,884
64,36,40,891
63,35,39,898
62,33,38,905
61,32,37,912
60,31,36,919
59,30,35,926
58,29,34,933
57,27,33,940
56,26,32,947
55,25,31,954
54,24,30,961
53,22,29,968
52,21,28,975
51,20,27,982
50,19,26,989
49,17,25,996
48,16,24,1003
47,15,23,1010
46,14,22,1017
45,12,21,1024
44,11,20,1031
43,10,18,1038
42,9,17,1044
41,8,16,1051
40,6,15,1058
39,5,14,1065
38,4,13,1072
37,3,12,1079
36,1,11,1086
35,,10,1093
34,,9,1100
33,,8,1107
32,,7,1114
31,,6,1121
30,,5,1128
29,,4,1135
28,,3,1142
27,,2,1149
26,,1,1156
25,,,1163
24,,,1170
23,,,1177
22,,,1184
21,,,1191
20,,,1198
19,,,1205
18,,,1212
17,,,1219
16,,,1226
15,,,1233
14,,,1240
13,,,1247
12,,,1254
11,,,1261
10,,,1268
9,,,1275
8,,,1281
7,,,1288
6,,,1295
5,,,1302
4,,,1309
3,,,1316
2,,,1323
1,,,1330
