得点,腕立,腹筋,3Km走
100,44,63,804
99,43,61,813
98,42,60,821
97,41,59,829
96,,58,837
95,40,57,845
94,39,56,853
93,,55,861
92,38,54,869
91,37,53,877
90,36,52,885
89,,51,893
88,35,49,902
87,34,48,910
86,33,47,918
85,,46,926
84,32,45,934
83,31,44,942
82,30,43,950
81,,42,958
80,29,41,966
79,,40,974
78,28,39,982
77,27,38,991
76,26,36,999
75,25,35,1007
74,,34,1015
73,24,33,1023
72,23,32,1031
71,22,31,1039
70,,30,1047
69,21,29,1055
68,20,28,1063
67,19,27,1071
66,,26,1079
65,18,24,1088
64,17,23,1096
63,16,22,1104
62,,21,1112
61,15,20,1120
60,14,19,1128
59,,18,1136
58,13,17,1144
57,12,16,1152
56,11,15,1160
55,,14,1168
54,10,12,1177
53,9,11,1185
52,8,10,1193
51,,9,1201
50,7,8,1209
49,6,7,1217
48,5,6,1225
47,,5,1233
46,4,4,1241
45,3,3,1249
44,,2,1257
43,2,1,1266
42,1,,1274
41,,,1282
40,,,1290
39,,,1298
38,,,1306
37,,,1314
36,,,1322
35,,,1330
34,,,1338
33,,,1346
32,,,1354
31,,,1363
30,,,1371
29,,,1379
28,,,1387
27,,,1395
26,,,1403
25,,,1411
24,,,1419
23,,,1427
22,,,1435
21,,,1443
20,,,1452
19,,,1460
18,,,1468
17,,,1476
16,,,1484
15,,,1492
14,,,1500
13,,,1508
12,,,1516
11,,,1524
10,,,1532
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
