得点,腕立,腹筋,3Km走
100,76,73,663
99,75,72,670
98,74,71,677
97,73,70,684
96,71,69,691
95,70,68,698
94,69,67,705
93,68,66,712
92,67,65,719
91,65,64,726
90,64,63,733
89,63,62,740
88,62,61,747
87,60,60,754
86,59,59,761
85,58,58,768
84,57,57,775
83,55,56,782
82,54,55,789
81,53,54,796
80,52,53,803
79,50,52,810
78,49,51,817
77,48,50,824
76,47,48,830
75,46,47,837
74,44,46,844
73,43,45,851
72,42,44,858
71,41,43,865
70,39,42,872
69,38,41,879
68,37,40,886
67,36,39,893
66,34,38,900
65,33,37,907
64,32,36,914
63,31,35,921
62,29,34,928
61,28,33,935
60,27,32,942
59,26,31,949
58,25,30,956
57,23,29,963
56,22,28,970
55,21,27,977
54,20,26,984
53,18,25,991
52,17,24,998
51,16,23,1005
50,15,22,1012
49,13,21,1019
48,12,20,1026
47,11,19,1033
46,10,18,1040
45,8,17,1047
44,7,16,1054
43,6,14,1061
42,5,13,1067
41,4,12,1074
40,2,11,1081
39,1,10,1088
38,,9,1095
37,,8,1102
36,,7,1109
35,,6,1116
34,,5,1123
33,,4,1130
32,,3,1137
31,,2,1144
30,,1,1151
29,,,1158
28,,,1165
27,,,1172
26,,,1179
25,,,1186
24,,,1193
23,,,1200
22,,,1207
21,,,1214
20,,,1221
19,,,1228
18,,,1235
17,,,1242
16,,,1249
15,,,1256
14,,,1263
13,,,1270
12,,,1277
11,,,1284
10,,,1291
9,,,1298
8,,,1304
7,,,1311
6,,,1318
5,,,1325
4,,,1332
3,,,1339
2,,,1346
1,,,1353
