得点,腕立,腹筋,3Km走
100,42,61,828
99,41,59,837
98,40,58,845
97,39,57,853
96,,56,861
95,38,55,869
94,37,54,877
93,,53,885
92,36,52,893
91,35,51,901
90,34,50,909
89,,49,917
88,33,47,926
87,32,46,934
86,31,45,942
85,,44,950
84,30,43,958
83,29,42,966
82,28,41,974
81,,40,982
80,27,39,990
79,,38,998
78,26,37,1006
77,25,36,1015
76,24,34,1023
75,23,33,1031
74,,32,1039
73,22,31,1047
72,21,30,1055
71,20,29,1063
70,,28,1071
69,19,27,1079
68,18,26,1087
67,17,25,1095
66,,24,1103
65,16,22,1112
64,15,21,1120
63,14,20,1128
62,,19,1136
61,13,18,1144
60,12,17,1152
59,,16,1160
58,11,15,1168
57,10,14,1176
56,9,13,1184
55,,12,1192
54,8,10,1201
53,7,9,1209
52,6,8,1217
51,,7,1225
50,5,6,1233
49,4,5,1241
48,3,4,1249
47,,3,1257
46,2,2,1265
45,1,1,1273
44,,,1281
43,,,1290
42,,,1298
41,,,1306
40,,,1314
39,,,1322
38,,,1330
37,,,1338
36,,,1346
35,,,1354
34,,,1362
33,,,1370
32,,,1378
31,,,1387
30,,,1395
29,,,1403
28,,,1411
27,,,1419
26,,,1427
25,,,1435
24,,,1443
23,,,1451
22,,,1459
21,,,1467
20,,,1476
19,,,1484
18,,,1492
17,,,1500
16,,,1508
15,,,1516
14,,,1524
13,,,1532
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
