得点,腕立,腹筋,3Km走
100,72,69,687
99,71,68,694
98,70,67,701
97,69,66,708
96,67,65,715
95,66,64,722
94,65,63,729
93,64,62,736
92,63,61,743
91,61,60,750
90,60,59,757
89,59,58,764
88,58,57,771
87,56,56,778
86,55,55,785
85,54,54,792
84,53,53,799
83,51,52,806
82,50,51,813
81,49,50,820
80,48,49,827
79,46,48,834
78,45,47,841
77,44,46,848
76,43,44,854
75,42,43,861
74,40,42,868
73,39,41,875
72,38,40,882
71,37,39,889
70,35,38,896
69,34,37,903
68,33,36,910
67,32,35,917
66,30,34,924
65,29,33,931
64,28,32,938
63,27,31,945
62,25,30,952
61,24,29,959
60,23,28,966
59,22,27,973
58,21,26,980
57,19,25,987
56,18,24,994
55,17,23,1001
54,16,22,1008
53,14,21,1015
52,13,20,1022
51,12,19,1029
50,11,18,1036
49,9,17,1043
48,8,16,1050
47,7,15,1057
46,6,14,1064
45,4,13,1071
44,3,12,1078
43,2,10,1085
42,1,9,1091
41,,8,1098
40,,7,1105
39,,6,1112
38,,5,1119
37,,4,1126
36,,3,1133
35,,2,1140
34,,1,1147
33,,,1154
32,,,1161
31,,,1168
30,,,1175
29,,,1182
28,,,1189
27,,,1196
26,,,1203
25,,,1210
24,,,1217
23,,,1224
22,,,1231
21,,,1238
20,,,1245
19,,,1252
18,,,1259
17,,,1266
16,,,1273
15,,,1280
14,,,1287
13,,,1294
12,,,1301
11,,,1308
10,,,1315
9,,,1322
8,,,1328
7,,,1335
6,,,1342
5,,,1349
4,,,1356
3,,,1363
2,,,1370
1,,,1377
