得点,腕立,腹筋,3Km走
100,40,59,852
99,39,57,861
98,38,56,869
97,37,55,877
96,,54,885
95,36,53,893
94,35,52,901
93,,51,909
92,34,50,917
91,33,49,925
90,32,48,933
89,,47,941
88,31,45,950
87,30,44,958
86,29,43,966
85,,42,974
84,28,41,982
83,27,40,990
82,26,39,998
81,,38,1006
80,25,37,1014
79,,36,1022
78,24,35,1030
77,23,34,1039
76,22,32,1047
75,21,31,1055
74,,30,1063
73,20,29,1071
72,19,28,1079
71,18,27,1087
70,,26,1095
69,17,25,1103
68,16,24,1111
67,15,23,1119
66,,22,1127
65,14,20,1136
64,13,19,1144
63,12,18,1152
62,,17,1160
61,11,16,1168
60,10,15,1176
59,,14,1184
58,9,13,1192
57,8,12,1200
56,7,11,1208
55,,10,1216
54,6,8,1225
53,5,7,1233
52,4,6,1241
51,,5,1249
50,3,4,1257
49,2,3,1265
48,1,2,1273
47,,1,1281
46,,,1289
45,,,1297
44,,,1305
43,,,1314
42,,,1322
41,,,1330
40,,,1338
39,,,1346
38,,,1354
37,,,1362
36,,,1370
35,,,1378
34,,,1386
33,,,1394
32,,,1402
31,,,1411
30,,,1419
29,,,1427
28,,,1435
27,,,1443
26,,,1451
25,,,1459
24,,,1467
23,,,1475
22,,,1483
21,,,1491
20,,,1500
19,,,1508
18,,,1516
17,,,1524
16,,,1532
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
