得点,腕立,腹筋,3Km走
100,68,65,712
99,67,64,719
98,66,63,726
97,65,62,733
96,63,61,740
95,62,60,747
94,61,59,754
93,60,58,761
92,59,57,768
91,57,56,775
90,56,55,782
89,55,54,789
88,54,53,796
87,52,52,803
86,51,51,810
85,50,50,817
84,49,49,824
83,47,48,831
82,46,47,838
81,45,46,845
80,44,45,852
79,42,44,859
78,41,43,866
77,40,42,873
76,39,40,879
75,38,39,886
74,36,38,893
73,35,37,900
72,34,36,907
71,33,35,914
70,31,34,921
69,30,33,928
68,29,32,935
67,28,31,942
66,26,30,949
65,25,29,956
64,24,28,963
63,23,27,970
62,21,26,977
61,20,25,984
60,19,24,991
59,18,23,998
58,17,22,1005
57,15,21,1012
56,14,20,1019
55,13,19,1026
54,12,18,1033
53,10,17,1040
52,9,16,1047
51,8,15,1054
50,7,14,1061
49,5,13,1068
48,4,12,1075
47,3,11,1082
46,2,10,1089
45,1,9,1096
44,,8,1103
43,,6,1110
42,,5,1116
41,,4,1123
40,,3,1130
39,,2,1137
38,,1,1144
37,,,1151
36,,,1158
35,,,1165
34,,,1172
33,,,1179
32,,,1186
31,,,1193
30,,,1200
29,,,1207
28,,,1214
27,,,1221
26,,,1228
25,,,1235
24,,,1242
23,,,1249
22,,,1256
21,,,1263
20,,,1270
19,,,1277
18,,,1284
17,,,1291
16,,,1298
15,,,1305
14,,,1312
13,,,1319
12,,,1326
11,,,1333
10,,,1340
9,,,1347
8,,,1353
7,,,1360
6,,,1367
5,,,1374
4,,,1381
3,,,1388
2,,,1395
1,,,1402
