得点,腕立,腹筋,3Km走
100,38,58,877
99,37,56,886
98,36,55,894
97,35,54,902
96,,53,910
95,34,52,918
94,33,51,926
93,,50,934
92,32,49,942
91,31,48,950
90,30,47,958
89,,46,966
88,29,44,975
87,28,43,983
86,27,42,991
85,,41,999
84,26,40,1007
83,25,39,1015
82,24,38,1023
81,,37,1031
80,23,36,1039
79,,35,1047
78,22,34,1055
77,21,33,1064
76,20,31,1072
75,19,30,1080
74,,29,1088
73,18,28,1096
72,17,27,1104
71,16,26,1112
70,,25,1120
69,15,24,1128
68,14,23,1136
67,13,22,1144
66,,21,1152
65,12,19,1161
64,11,18,1169
63,10,17,1177
62,,16,1185
61,9,15,1193
60,8,14,1201
59,,13,1209
58,7,12,1217
57,6,11,1225
56,5,10,1233
55,,9,1241
54,4,7,1250
53,3,6,1258
52,2,5,1266
51,,4,1274
50,1,3,1282
49,,2,1290
48,,1,1298
47,,,1306
46,,,1314
45,,,1322
44,,,1330
43,,,1339
42,,,1347
41,,,1355
40,,,1363
39,,,1371
38,,,1379
37,,,1387
36,,,1395
35,,,1403
34,,,1411
33,,,1419
32,,,1427
31,,,1436
30,,,1444
29,,,1452
28,,,1460
27,,,1468
26,,,1476
25,,,1484
24,,,1492
23,,,1500
22,,,1508
21,,,1516
20,,,1525
19,,,1533
18,,,
17,,,
16,,,
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
