得点,腕立,腹筋,3Km走
100,65,62,737
99,64,61,744
98,63,60,751
97,62,59,758
96,60,58,765
95,59,57,772
94,58,56,779
93,57,55,786
92,56,54,793
91,54,53,800
90,53,52,807
89,52,51,814
88,51,50,821
87,49,49,828
86,48,48,835
85,47,47,842
84,46,46,849
83,44,45,856
82,43,44,863
81,42,43,870
80,41,42,877
79,39,41,884
78,38,40,891
77,37,39,898
76,36,37,904
75,35,36,911
74,33,35,918
73,32,34,925
72,31,33,932
71,30,32,939
70,28,31,946
69,27,30,953
68,26,29,960
67,25,28,967
66,23,27,974
65,22,26,981
64,21,25,988
63,20,24,995
62,18,23,1002
61,17,22,1009
60,16,21,1016
59,15,20,1023
58,14,19,1030
57,12,18,1037
56,11,17,1044
55,10,16,1051
54,9,15,1058
53,7,14,1065
52,6,13,1072
51,5,12,1079
50,4,11,1086
49,2,10,1093
48,1,9,1100
47,,8,1107
46,,7,1114
45,,6,1121
44,,5,1128
43,,3,1135
42,,2,1141
41,,1,1148
40,,,1155
39,,,1162
38,,,1169
37,,,1176
36,,,1183
35,,,1190
34,,,1197
33,,,1204
32,,,1211
31,,,1218
30,,,1225
29,,,1232
28,,,1239
27,,,1246
26,,,1253
25,,,1260
24,,,1267
23,,,1274
22,,,1281
21,,,1288
20,,,1295
19,,,1302
18,,,1309
17,,,1316
16,,,1323
15,,,1330
14,,,1337
13,,,1344
12,,,1351
11,,,1358
10,,,1365
9,,,1372
8,,,1378
7,,,1385
6,,,1392
5,,,1399
4,,,1406
3,,,1413
2,,,1420
1,,,1427
