得点,腕立,腹筋,3Km走
100,36,56,903
99,35,54,912
98,34,53,920
97,33,52,928
96,,51,936
95,32,50,944
94,31,49,952
93,,48,960
92,30,47,968
91,29,46,976
90,28,45,984
89,,44,992
88,27,42,1001
87,26,41,1009
86,25,40,1017
85,,39,1025
84,24,38,1033
83,23,37,1041
82,22,36,1049
81,,35,1057
80,21,34,1065
79,,33,1073
78,20,32,1081
77,19,31,1090
76,18,29,1098
75,17,28,1106
74,,27,1114
73,16,26,1122
72,15,25,1130
71,14,24,1138
70,,23,1146
69,13,22,1154
68,12,21,1162
67,11,20,1170
66,,19,1178
65,10,17,1187
64,9,16,1195
63,8,15,1203
62,,14,1211
61,7,13,1219
60,6,12,1227
59,,11,1235
58,5,10,1243
57,4,9,1251
56,3,8,1259
55,,7,1267
54,2,5,1276
53,1,4,1284
52,,3,1292
51,,2,1300
50,,1,1308
49,,,1316
48,,,1324
47,,,1332
46,,,1340
45,,,1348
44,,,1356
43,,,1365
42,,,1373
41,,,1381
40,,,1389
39,,,1397
38,,,1405
37,,,1413
36,,,1421
35,,,1429
34,,,1437
33,,,1445
32,,,1453
31,,,1462
30,,,1470
29,,,1478
28,,,1486
27,,,1494
26,,,1502
25,,,1510
24,,,1518
23,,,1526
22,,,1534
21,,,
20,,,
19,,,
18,,,
17,,,
16,,,
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
