得点,腕立,腹筋,3Km走
100,62,59,763
99,61,58,770
98,60,57,777
97,59,56,784
96,57,55,791
95,56,54,798
94,55,53,805
93,54,52,812
92,53,51,819
91,51,50,826
90,50,49,833
89,49,48,840
88,48,47,847
87,46,46,854
86,45,45,861
85,44,44,868
84,43,43,875
83,41,42,882
82,40,41,889
81,39,40,896
80,38,39,903
79,36,38,910
78,35,37,917
77,34,36,924
76,33,34,930
75,32,33,937
74,30,32,944
73,29,31,951
72,28,30,958
71,27,29,965
70,25,28,972
69,24,27,979
68,23,26,986
67,22,25,993
66,20,24,1000
65,19,23,1007
64,18,22,1014
63,17,21,1021
62,15,20,1028
61,14,19,1035
60,13,18,1042
59,12,17,1049
58,11,16,1056
57,9,15,1063
56,8,14,1070
55,7,13,1077
54,6,12,1084
53,4,11,1091
52,3,10,1098
51,2,9,1105
50,1,8,1112
49,,7,1119
48,,6,1126
47,,5,1133
46,,4,1140
45,,3,1147
44,,2,1154
43,,1,1161
42,,,1167
41,,,1174
40,,,1181
39,,,1188
38,,,1195
37,,,1202
36,,,1209
35,,,1216
34,,,1223
33,,,1230
32,,,1237
31,,,1244
30,,,1251
29,,,1258
28,,,1265
27,,,1272
26,,,1279
25,,,1286
24,,,1293
23,,,1300
22,,,1307
21,,,1314
20,,,1321
19,,,1328
18,,,1335
17,,,1342
16,,,1349
15,,,1356
14,,,1363
13,,,1370
12,,,1377
11,,,1384
10,,,1391
9,,,1398
8,,,1404
7,,,1411
6,,,1418
5,,,1425
4,,,1432
3,,,1439
2,,,1446
1,,,1453
