得点,腕立,腹筋,3Km走
100,35,54,923
99,34,52,932
98,33,51,940
97,32,50,948
96,,49,956
95,31,48,964
94,30,47,972
93,,46,980
92,29,45,988
91,28,44,996
90,27,43,1004
89,,42,1012
88,26,40,1021
87,25,39,1029
86,24,38,1037
85,,37,1045
84,23,36,1053
83,22,35,1061
82,21,34,1069
81,,33,1077
80,20,32,1085
79,,31,1093
78,19,30,1101
77,18,29,1110
76,17,27,1118
75,16,26,1126
74,,25,1134
73,15,24,1142
72,14,23,1150
71,13,22,1158
70,,21,1166
69,12,20,1174
68,11,19,1182
67,10,18,1190
66,,17,1198
65,9,15,1207
64,8,14,1215
63,7,13,1223
62,,12,1231
61,6,11,1239
60,5,10,1247
59,,9,1255
58,4,8,1263
57,3,7,1271
56,2,6,1279
55,,5,1287
54,1,3,1296
53,,2,1304
52,,1,1312
51,,,1320
50,,,1328
49,,,1336
48,,,1344
47,,,1352
46,,,1360
45,,,1368
44,,,1376
43,,,1385
42,,,1393
41,,,1401
40,,,1409
39,,,1417
38,,,1424
37,,,1433
36,,,1441
35,,,1449
34,,,1457
33,,,1465
32,,,1473
31,,,1482
30,,,1490
29,,,1498
28,,,1506
27,,,1514
26,,,1522
25,,,1530
24,,,1538
23,,,
22,,,
21,,,
20,,,
19,,,
18,,,
17,,,
16,,,
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
