得点,腕立,腹筋,3Km走
100,60,56,785
99,59,55,792
98,58,54,799
97,57,53,806
96,55,52,813
95,54,51,820
94,53,50,827
93,52,49,834
92,51,48,841
91,49,47,848
90,48,46,855
89,47,45,862
88,46,44,869
87,44,43,876
86,43,42,883
85,42,41,890
84,41,40,897
83,39,39,904
82,38,38,911
81,37,37,918
80,36,36,925
79,34,35,932
78,33,34,939
77,32,33,946
76,31,31,952
75,30,30,959
74,28,29,966
73,27,28,973
72,26,27,980
71,25,26,987
70,23,25,994
69,22,24,1001
68,21,23,1008
67,20,22,1015
66,18,21,1022
65,17,20,1029
64,16,19,1036
63,15,18,1043
62,13,17,1050
61,12,16,1057
60,11,15,1064
59,10,14,1071
58,9,13,1078
57,7,12,1085
56,6,11,1092
55,5,10,1099
54,4,9,1106
53,2,8,1113
52,1,7,1120
51,,6,1127
50,,5,1134
49,,4,1141
48,,3,1148
47,,2,1155
46,,1,1162
45,,,1169
44,,,1176
43,,,1183
42,,,1189
41,,,1196
40,,,1203
39,,,1210
38,,,1217
37,,,1224
36,,,1231
35,,,1238
34,,,1245
33,,,1252
32,,,1259
31,,,1266
30,,,1273
29,,,1280
28,,,1287
27,,,1294
26,,,1301
25,,,1308
24,,,1315
23,,,1322
22,,,1329
21,,,1336
20,,,1343
19,,,1350
18,,,1357
17,,,1364
16,,,1371
15,,,1378
14,,,1385
13,,,1392
12,,,1399
11,,,1406
10,,,1413
9,,,1420
8,,,1426
7,,,1433
6,,,1440
5,,,1447
4,,,1454
3,,,1461
2,,,1468
1,,,1475
